"year","recrlo","recr","recrhi","tsblo","tsb","tsbhi","ssblo","ssb","ssbhi","catch","lan","dis","ibc","ur","yssb","flo","f","fhi"
1984,196106.208514843,231065.081461884,266023.954408925,89824.4037334352,101061.490503487,112298.577273539,66306.5531209144,77182.3483413005,88058.1435616867,18828,16659,2169,NA,NA,NA,0.1579261089339,0.194097,0.2302678910661
1985,185245.493476798,218855.741419568,252465.989362338,96145.6045648019,107776.470178922,119407.335793042,70006.1987399888,81297.5572685205,92588.9157970523,19597,17865,1732,NA,NA,NA,0.188893888501076,0.22962075,0.270347611498924
1986,178023.310047332,211301.039943991,244578.76984065,97168.285063853,109184.156391097,121200.027718341,73720.0591752241,85653.9822081828,97587.9052411414,21248.309,18927.309,2321,NA,NA,NA,0.180237089135713,0.218384,0.256530910864287
1987,153340.652458325,181816.649281344,210292.646104362,101849.564506063,113664.438576261,125479.312646458,77493.0390587241,89265.825480101,101038.611901478,18819.391,17114.391,1705,NA,NA,NA,0.183263908461867,0.21986475,0.256465591538133
1988,152034.297288677,180340.299192055,208646.301095433,85519.2721454221,94694.8973027916,103870.522460161,66165.2118082563,75190.0188412494,84214.8258742426,19302.34,17577.34,1725,NA,NA,NA,0.207962086968162,0.2488835,0.289804913031838
1989,191076.865611672,226734.412757693,262391.959903714,73631.8466059136,81630.9079066168,89629.9692073201,55893.3459815038,63648.6603107583,71403.9746400127,21814.675,19232.675,2582,NA,NA,NA,0.288335305144922,0.34304125,0.397747194855078
1990,215760.919184166,255886.060679504,296011.202174841,68132.7481922375,75099.4027664697,82066.0573407019,46261.1137673659,52697.2980161691,59133.4822649724,17654.393,14370.393,3284,NA,NA,NA,0.328222506882648,0.3864595,0.444696493117352
1991,244829.713807017,290393.550797047,335957.387787078,69601.6428656314,76212.2009068425,82822.7589480536,44580.353797894,50411.7885619745,56243.223326055,18376.151,15094.151,3282,NA,NA,NA,0.358581887408101,0.42478575,0.490989612591899
1992,205862.13065346,243321.419066464,280780.707479468,67645.3848437292,73186.0804973283,78726.7761509274,42550.8462534917,47244.4273216814,51938.0083898711,18588.088,15600.088,2988,NA,NA,NA,0.304436174074027,0.36004125,0.415646325925973
1993,176226.951446289,208311.368349765,240395.785253242,67518.4021460956,72687.9833631894,77857.5645802832,45634.2718247717,50094.3608139004,54554.4498030291,18036.99,14928.99,3108,NA,NA,NA,0.310010220653131,0.36709175,0.424173279346869
1994,185666.712920926,218959.762690715,252252.812460504,65984.8071573637,70783.6861361912,75582.5651150187,44353.076789474,48395.4808425724,52437.8848956709,16384.4635,13684.4635,2700,NA,NA,NA,0.269175780169995,0.3190565,0.368937219830005
1995,210072.92760753,247165.193025588,284257.458443645,72018.5452803265,77251.66443957,82484.7835988135,50792.1079147987,55502.4636324013,60212.8193500039,19068.34304,15862.34304,3206,NA,NA,NA,0.274723257223887,0.32574875,0.376774242776113
1996,229166.357269512,269201.410020458,309236.462771404,65249.9934099306,70083.8435127344,74917.6936155383,47021.9237301673,51475.859741508,55929.7957528487,18134.97286,15108.97286,3026,NA,NA,NA,0.300181348375197,0.35492575,0.409670151624803
1997,207787.840016242,244209.359676193,280630.879336144,74613.6041863187,79906.4715347459,85199.338883173,48568.5008084743,53051.2800055791,57534.0592026839,17296.0974978302,14230.0974978302,3066,NA,NA,NA,0.251848013372201,0.29912525,0.346402486627799
1998,231191.422533172,270215.930731221,309240.43892927,77661.0919129288,83205.2274160245,88749.3629191202,51771.8831201551,56327.3636703187,60882.8442204823,19715.75706,14344.69106,5371.066,NA,NA,NA,0.281166462736942,0.332432,0.383697537263058
1999,227125.596871358,265291.21284,303456.828808642,67139.1104689227,72038.4047203039,76937.6989716851,44821.3722908514,48859.8946611854,52898.4170315193,16601.4819663742,13304.63265,3296.8493163742,NA,NA,NA,0.302014946094021,0.356409,0.410803053905979
2000,253969.563697264,295696.12908888,337422.694480496,70676.1683456578,75984.9040021942,81293.6396587307,44586.7720746946,48575.7831720841,52564.7942694736,16901.4999278175,15031.473513,1870.02641481748,NA,NA,NA,0.31806922488513,0.37409925,0.43012927511487
2001,214506.495346712,248355.17130214,282203.847257569,75709.7194941174,81495.4478856455,87281.1762771735,44870.2352876936,48895.4408897865,52920.6464918794,18039.6032268346,15777.9906473477,2261.61257948695,NA,NA,NA,0.377282859786458,0.44172675,0.506170640213542
2002,228921.73709343,265348.236548882,301774.736004334,68020.5511593596,73435.9396344873,78851.3281096151,41388.5764110595,45321.7891302302,49255.001849401,18800.3899614624,15987.1720397745,2813.21792168789,NA,NA,NA,0.410698619065086,0.474943,0.539187380934914
2003,213784.795622112,246726.549111113,279668.302600114,62517.7490591675,67207.6073966801,71897.4657341926,39139.8675355157,42613.8835052661,46087.8994750164,19719.3020121905,15711.16456,4008.13745219045,NA,NA,NA,0.406152890833972,0.46812425,0.530095609166028
2004,176405.440279767,203134.11689064,229862.793501512,55783.3184495696,59770.7514625262,63758.1844754827,34567.1873388217,37421.0866559305,40274.9859730393,20601.5488683868,14358.3034264738,6243.24544191302,NA,NA,NA,0.394605433813441,0.45657525,0.518545066186559
2005,183737.758940618,211246.522771763,238755.286602908,51647.5596804431,55194.068053102,58740.5764257609,33065.5442715799,35743.4437405424,38421.3432095048,16163.0057175947,12887.9618908443,3275.04382675041,NA,NA,NA,0.415305947203522,0.4779475,0.540589052796478
2006,222638.973267637,255921.152192662,289203.331117687,52751.4757283537,56297.7987783294,59844.1218283051,32240.8551075814,34832.4794432433,37424.1037789053,15787.7114906052,12037.187379,3750.52411160523,NA,NA,NA,0.365244712582248,0.423482,0.481719287417752
2007,212020.296452429,243909.20191186,275798.107371291,56698.9523041145,60427.4081701434,64155.8640361723,33263.9503448638,35904.7481821891,38545.5460195144,16092.4306467375,13059.8172588164,3032.61338792114,NA,NA,NA,0.398843783416594,0.4589605,0.519077216583406
2008,153208.639198729,176308.534983871,199408.430769014,58556.3810799369,62375.2626313211,66194.1441827053,34669.6065354446,37278.0621268862,39886.5177183278,13908.2739746671,11048.134813,2860.13916166712,NA,NA,NA,0.285225211544165,0.33267275,0.380120288455835
2009,178945.888443824,206289.219904038,233632.551364252,69958.5442386573,74553.4072897219,79148.2703407866,42820.4301364149,46101.2782001762,49382.1262639376,18341.5394679307,15063.55158,3277.98788793066,NA,NA,NA,0.293457849654421,0.34139275,0.38932765034558
2010,187404.54926114,215943.772461621,244482.995662103,62984.5414629138,67294.8343458714,71605.1272288291,45225.5467213918,48884.9244712572,52544.3022211227,20444.0882169955,15101.0948831054,5342.99333389013,NA,NA,NA,0.371549254649763,0.4286655,0.485781745350237
2011,157948.978405082,182268.452513252,206587.926621422,53623.4006697694,57227.4818771677,60831.5630845661,36547.8978235392,39441.7351198104,42335.5724160816,17412.7360803476,13226.0636371546,4186.67244319296,NA,NA,NA,0.330705175173028,0.38397775,0.437250324826972
2012,124853.116556809,143395.828812524,161938.541068239,51531.1825254777,55121.94687865,58712.7112318223,37821.6916151096,40872.7780425342,43923.8644699588,18137.034887598,14433.3430456614,3703.69184193662,NA,NA,NA,0.336267201224003,0.39118175,0.446096298775997
