"year","recrlo","recr","recrhi","tsblo","tsb","tsbhi","ssblo","ssb","ssbhi","catch","lan","dis","ibc","ur","yssb","flo","f","fhi"
2013,127790.454360892,147055.998961732,166321.543562572,56267.0967929045,60155.2815378525,64043.4662828005,39041.399994791,42290.5864928105,45539.77299083,20909.7764915858,16024.5453954206,4885.23109616522,NA,NA,NA,0.421589145348376,0.48468775,0.547786354651624
2014,116793.169337804,134691.25364686,152589.337955915,61328.8573144021,65386.5729183606,69444.2885223192,43599.3425711704,47062.1138203419,50524.8850695134,15846.1621594929,13277.369,2568.79315949287,NA,NA,NA,0.300892053633476,0.350389,0.399885946366524
2015,128827.402485742,150045.043921794,171262.685357845,53562.9676489452,57164.4743258643,60765.9810027833,36555.0190124476,39432.5867761218,42310.1545397961,13075.72368,10682.34385,2393.37983,NA,NA,NA,0.253241566209529,0.2987005,0.344159433790471
2016,154531.439983267,181658.737472133,208786.034960998,61103.5768249357,65398.4241683102,69693.2715116846,40405.262157536,43675.993818741,46946.7254799461,14862.92199,11547.78002,3315.14197,NA,NA,NA,0.289160197643572,0.33764675,0.386133302356428
2017,187397.37956296,226286.369330766,265175.359098572,63810.7760526617,68736.2760433035,73661.7760339452,36782.4209747381,39809.8414270628,42837.2618793875,17302.68198,13784.43807,3518.24391,NA,NA,NA,0.327829033422002,0.38380775,0.439786466577998
2018,197126.303399341,246877.567944525,296628.832489709,92626.765904588,101195.171321765,109763.576738941,45892.3826082613,49919.1689921627,53945.9553760642,15562.05413,12147.16253,3414.8916,NA,NA,NA,0.265148517037719,0.312565,0.359981482962281
2019,195038.150681543,260206.703237077,325375.255792611,103225.115050653,114812.74655008,126400.378049508,49771.0729402319,54743.8468832799,59716.6208263279,14129.64963,12163.64628,1966.00335,NA,NA,NA,0.208897707785626,0.25065,0.292402292214374
2020,129403.81886459,192651.153968863,255898.489073136,100763.676817283,113744.476283162,126725.275749041,57536.9144265845,64562.0248602338,71587.1352938832,13625.883850056,11141.01419,2484.86966005605,NA,NA,NA,0.16977759092986,0.20756975,0.24536190907014
2021,119679.038395483,213694.155814531,307709.273233578,99427.2427678057,114433.192853368,129439.14293893,62931.1307242551,72086.1471980598,81241.1636718644,15020.37757,12417.52322,2602.85435,NA,NA,NA,0.181450860957717,0.22865825,0.275865639042283
2022,43143.5004680752,140646.784737096,238150.069006117,107495.254029629,128166.003359512,148836.752689395,72678.6620121893,86223.6518475665,99768.6416829438,13160.544,10820.744,2339.8,NA,NA,NA,0.115056047769222,0.149564075,0.184072102230778
2023,NA,217.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195264025,NA
