"year","recrlo","recr","recrhi","tsblo","tsb","tsbhi","ssblo","ssb","ssbhi","catch","lan","dis","ibc","ur","yssb","flo","f","fhi"
1998,250703.676632197,270215.930731221,289728.184830246,80433.1596644766,83205.2274160245,85977.2951675724,54049.6233952369,56327.3636703187,58605.1039454005,19715.75706,14344.69106,5371.066,NA,NA,NA,0.306799231368471,0.332432,0.358064768631529
1999,246208.404855679,265291.21284,284374.020824321,69588.7575946133,72038.4047203039,74488.0518459945,46840.6334760184,48859.8946611854,50879.1558463523,16601.4819663742,13304.63265,3296.8493163742,NA,NA,NA,0.329211973047011,0.356409,0.383606026952989
2000,274832.846393072,295696.12908888,316559.411784688,73330.536173926,75984.9040021942,78639.2718304625,46581.2776233894,48575.7831720841,50570.2887207789,16901.4999278175,15031.473513,1870.02641481748,NA,NA,NA,0.346084237442565,0.37409925,0.402114262557435
2001,231430.833324426,248355.17130214,265279.509279855,78602.5836898814,81495.4478856455,84388.3120814095,46882.83808874,48895.4408897865,50908.043690833,18039.6032268346,15777.9906473477,2261.61257948695,NA,NA,NA,0.409504804893229,0.44172675,0.473948695106771
2002,247134.986821156,265348.236548882,283561.486276608,70728.2453969234,73435.9396344873,76143.6338720512,43355.1827706448,45321.7891302302,47288.3954898156,18800.3899614624,15987.1720397745,2813.21792168789,NA,NA,NA,0.442820809532543,0.474943,0.507065190467457
2003,230255.672366613,246726.549111113,263197.425855613,64862.6782279238,67207.6073966801,69552.5365654363,40876.8755203909,42613.8835052661,44350.8914901412,19719.3020121905,15711.16456,4008.13745219045,NA,NA,NA,0.437138570416986,0.46812425,0.499109929583014
2004,189769.778585203,203134.11689064,216498.455196076,57777.0349560479,59770.7514625262,61764.4679690045,35994.1369973761,37421.0866559305,38848.0363144849,20601.5488683868,14358.3034264738,6243.24544191302,NA,NA,NA,0.42559034190672,0.45657525,0.48756015809328
2005,197492.140856191,211246.522771763,225000.904687336,53420.8138667726,55194.068053102,56967.3222394315,34404.4940060611,35743.4437405424,37082.3934750236,16163.0057175947,12887.9618908443,3275.04382675041,NA,NA,NA,0.446626723601761,0.4779475,0.509268276398239
2006,239280.062730149,255921.152192662,272562.241655174,54524.6372533416,56297.7987783294,58070.9603033173,33536.6672754124,34832.4794432433,36128.2916110743,15787.7114906052,12037.187379,3750.52411160523,NA,NA,NA,0.394363356291124,0.423482,0.452600643708876
2007,227964.749182144,243909.20191186,259853.654641575,58563.180237129,60427.4081701434,62291.6361031579,34584.3492635264,35904.7481821891,37225.1471008517,16092.4306467375,13059.8172588164,3032.61338792114,NA,NA,NA,0.428902141708297,0.4589605,0.489018858291703
2008,164758.5870913,176308.534983871,187858.482876442,60465.821855629,62375.2626313211,64284.7034070132,35973.8343311654,37278.0621268862,38582.289922607,13908.2739746671,11048.134813,2860.13916166712,NA,NA,NA,0.308948980772082,0.33267275,0.356396519227918
2009,192617.554173931,206289.219904038,219960.885634145,72255.9757641896,74553.4072897219,76850.8388152542,44460.8541682956,46101.2782001762,47741.7022320569,18341.5394679307,15063.55158,3277.98788793066,NA,NA,NA,0.31742529982721,0.34139275,0.36536020017279
2010,201674.160861381,215943.772461621,230213.384061862,65139.6879043926,67294.8343458714,69449.9807873503,47055.2355963245,48884.9244712572,50714.6133461899,20444.0882169955,15101.0948831054,5342.99333389013,NA,NA,NA,0.400107377324882,0.4286655,0.457223622675119
2011,170108.715459167,182268.452513252,194428.189567337,55425.4412734685,57227.4818771677,59029.5224808669,37994.8164716748,39441.7351198104,40888.653767946,17412.7360803476,13226.0636371546,4186.67244319296,NA,NA,NA,0.357341462586514,0.38397775,0.410614037413486
