"year","recrlo","recr","recrhi","tsblo","tsb","tsbhi","ssblo","ssb","ssbhi","catch","lan","dis","ibc","ur","yssb","flo","f","fhi"
2011,170093.054066728,182268.452513252,194443.850959777,55430.6875154071,57227.4818771677,59024.2762389283,37997.7477985257,39441.7351198104,40885.7224410951,17412.7360803476,13226.0636371546,4186.67244319296,NA,NA,NA,0.357306460081777,0.38397775,0.410649039918223
2012,134110.92437341,143395.828812524,152680.733251638,53329.1898271817,55121.94687865,56914.7039301182,39349.9448582269,40872.7780425342,42395.6112268414,18137.034887598,14433.3430456614,3703.69184193662,NA,NA,NA,0.363539481936174,0.39118175,0.418824018063826
2013,137391.840780194,147055.998961732,156720.15714327,58209.5637910747,60155.2815378525,62100.9992846302,40665.4065537328,42290.5864928105,43915.7664318881,20909.7764915858,16024.5453954206,4885.23109616522,NA,NA,NA,0.453159882833931,0.48468775,0.516215617166069
2014,125743.912263608,134691.25364686,143638.595030112,63354.1600641416,65386.5729183606,67418.9857725796,45328.4107720522,47062.1138203419,48795.8168686316,15846.1621594929,13277.369,2568.79315949287,NA,NA,NA,0.325494474736241,0.350389,0.375283525263759
2015,139472.442880831,150045.043921794,160617.644962757,55359.938807968,57164.4743258643,58969.0098437606,37990.6683687929,39432.5867761218,40874.5051834507,13075.72368,10682.34385,2393.37983,NA,NA,NA,0.275956079837714,0.2987005,0.321444920162286
2016,168064.346667591,181658.737472133,195253.128276674,63251.9649947409,65398.4241683102,67544.8833418795,42038.712393343,43675.993818741,45313.2752441391,14862.92199,11547.78002,3315.14197,NA,NA,NA,0.31346469551241,0.33764675,0.36182880448759
2017,206914.262597593,226286.369330766,245658.476063939,66284.0067706767,68736.2760433035,71188.5453159303,38298.4344312074,39809.8414270628,41321.2484229182,17302.68198,13784.43807,3518.24391,NA,NA,NA,0.355899713387859,0.38380775,0.411715786612141
2018,222054.435466971,246877.567944525,271700.700422079,96933.1980955783,101195.171321765,105457.144547951,47916.5874004007,49919.1689921627,51921.7505839248,15562.05413,12147.16253,3414.8916,NA,NA,NA,0.288785606566446,0.312565,0.336344393433553
2019,227810.863060441,260206.703237077,292602.543413713,109033.980397963,114812.74655008,120591.512702197,52265.1438262962,54743.8468832799,57222.5499402636,14129.64963,12163.64628,1966.00335,NA,NA,NA,0.229819584231538,0.25065,0.271480415768462
2020,161262.420702499,192651.153968863,224039.887235227,107282.951717512,113744.476283162,120206.000848811,61058.4554283247,64562.0248602338,68065.594292143,13625.883850056,11141.01419,2484.86966005605,NA,NA,NA,0.188474072394544,0.20756975,0.226665427605456
2021,166629.984309489,213694.155814531,260758.327319573,106972.390700967,114433.192853368,121893.995005769,67509.7579678951,72086.1471980598,76662.5364282244,15020.37757,12417.52322,2602.85435,NA,NA,NA,0.20522694082908,0.22865825,0.25208955917092
2022,91373.8434826515,140646.784737096,189919.725991541,117904.043071377,128166.003359512,138427.963647647,79462.9099687219,86223.6518475665,92984.3937264112,13160.544,10820.744,2339.8,NA,NA,NA,0.13213255120721,0.149564075,0.16699559879279
2023,NA,217.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195264025,NA
